,City,City ID,Date,Max Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
83,Karratha,6620339,1552092226,28.03,0,75,2.07,-20.74,116.85
84,Kuandian,2036283,1552092202,0.83,20,63,2.17,40.73,124.78
85,Staritsa,488946,1552092348,4.0,80,92,9.07,56.51,34.93
86,Twentynine Palms,5404198,1552092304,21.0,1,24,9.3,34.14,-116.05
87,Mount Gambier,2156643,1552089600,20.0,90,68,2.1,-37.83,140.78
88,Penha,3454213,1552092329,24.0,75,88,9.8,-26.78,-48.65
89,Port Elizabeth,4501427,1552092212,2.22,90,90,2.87,39.31,-74.98
90,Thompson,6165406,1552089600,-5.0,75,35,1.0,55.74,-97.86
91,Avarua,4035715,1552089600,27.0,32,78,6.2,-21.21,-159.78
92,Aklavik,5882953,1552089600,-4.0,75,73,3.6,68.22,-135.01
93,Katsuura,1865309,1552091083,7.78,20,70,3.6,33.93,134.5
94,Bellevue,5786882,1552092350,6.11,40,75,2.1,47.61,-122.19
95,Saskylakh,2017155,1552092353,-16.78,64,76,5.07,71.97,114.09
96,Ipanema,3452925,1552092343,25.0,90,88,4.1,-30.14,-51.22
97,Sur,286245,1552092353,20.15,0,100,2.12,22.57,59.53
98,Bartica,3379507,1552092353,25.93,68,71,2.42,6.41,-58.62
99,Vostok,2013279,1552092271,1.68,92,59,3.27,46.45,135.83
100,Tasiilaq,3424607,1552089000,-4.0,56,45,10.3,65.61,-37.64
101,Ust-Kut,2013923,1552092354,-4.5,88,73,3.52,56.78,105.75
102,Maltahohe,3355624,1552092354,15.63,0,30,2.77,-24.83,16.98
103,Sindor,492860,1552092354,-2.78,92,88,5.47,62.87,51.9
104,La Reforma,3594143,1552092004,30.0,75,62,3.1,14.8,-91.82
105,Tuktoyaktuk,6170031,1552089600,-12.0,90,92,5.7,69.44,-133.03
106,Broken Hill,2173911,1552089600,29.0,8,9,1.5,-31.97,141.45
107,Petatlan,3992842,1552088400,30.0,5,66,4.1,17.52,-101.27
108,Hualmay,3939761,1552092356,23.58,36,72,2.02,-11.1,-77.61
109,Unai,3445764,1552092356,23.43,0,69,2.12,-16.36,-46.91
110,Conceicao da Barra,3465769,1552092356,28.08,36,92,3.42,-18.59,-39.73
111,Hamilton,5969785,1552092355,-2.78,20,49,2.1,43.26,-79.87
112,Alofi,4036284,1552089600,28.0,75,74,2.6,-19.06,-169.92
113,Haukipudas,658630,1552092351,1.11,92,100,4.6,65.17,25.5
114,Cape Town,3369157,1552092222,17.78,0,87,4.6,-33.93,18.42
115,Ambatofinandrahana,1083239,1552092357,15.58,36,94,1.17,-20.55,46.8
